"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"l1tex__f_cycles_active","# of cycles where L1TEX F-Stage was active","1","1"
"l1tex__f_tex2sm_cycles_active","# of cycles where interface carrying return data from L1TEX F-Stage back to SM was active","1","1"
"l1tex__f_tex2sm_cycles_stalled","# of cycles where interface carrying return data from L1TEX F-Stage back to SM was stalled","1","1"
"l1tex__f_wavefronts","# of wavefronts processed by L1TEX F-Stage","1","1"
"l1tex__lsu_writeback_active","# of cycles where local/global/shared writeback interface was active","1","1"
"l1tex__lsu_writeback_active_mem_lg","# of cycles where local/global writeback interface was active","1","1"
"l1tex__lsu_writeback_active_mem_shared","# of cycles where local/global/shared writeback interface was active for shared memory instructions","1","1"
"l1tex__lsuin_requests","# of local/global/shared/attribute instructions sent to LSU","1","1"
"l1tex__m_l1tex2xbar_req_cycles_active","# of cycles where interface from L1TEX M-Stage to XBAR was active","1","1"
"l1tex__m_l1tex2xbar_req_cycles_stalled","# of cycles where interface from L1TEX M-Stage to XBAR was stalled","1","1"
"l1tex__m_l1tex2xbar_throughput","L1TEX M-Stage to XBAR throughput","1","1"
"l1tex__m_l1tex2xbar_write_bytes","# of bytes written to L2","1","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_global_op_atom","# of bytes written to L2 for global atomics","1","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_global_op_red","# of bytes written to L2 for global reductions","1","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_lg_op_st","# of bytes written to L2 for local/global stores","1","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_atom","# of bytes written to L2 for surface atomics","1","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_red","# of bytes written to L2 for surface reductions","1","1"
"l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_st","# of bytes written to L2 for surface stores","1","1"
"l1tex__m_l1tex2xbar_write_sectors","# of sectors written to L2","1","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom","# of sectors read from L2 into L1TEX M-Stage for global atomics","1","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red","# of sectors written to L2 for global reductions","1","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st","# of sectors written to L2 for local/global stores","1","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom","# of sectors read from L2 into L1TEX M-Stage for surface atomics","1","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red","# of sectors written to L2 for surface reductions","1","1"
"l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st","# of sectors written to L2 for surface stores","1","1"
"l1tex__m_xbar2l1tex_read_bytes","# of bytes read from L2 into L1TEX M-Stage","1","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_global_op_atom","# of bytes read from L2 into L1TEX M-Stage for global atomics","1","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_lg_op_ld","# of bytes read from L2 into L1TEX M-Stage for local/global loads","1","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_atom","# of bytes read from L2 into L1TEX M-Stage for surface atomics","1","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_ld","# of bytes read from L2 into L1TEX M-Stage for surface loads","1","1"
"l1tex__m_xbar2l1tex_read_bytes_mem_texture","# of bytes read from L2 into L1TEX M-Stage for texture","1","1"
"l1tex__m_xbar2l1tex_read_sectors","# of sectors read from L2 into L1TEX M-Stage","1","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom","# of sectors read from L2 into L1TEX M-Stage for global atomics","1","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld","# of sectors read from L2 into L1TEX M-Stage for local/global loads","1","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom","# of sectors read from L2 into L1TEX M-Stage for surface atomics","1","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld","# of sectors read from L2 into L1TEX M-Stage for surface loads","1","1"
"l1tex__m_xbar2l1tex_read_sectors_mem_texture","# of sectors read from L2 into L1TEX M-Stage for texture","1","1"
"l1tex__m_xbar2l1tex_throughput","XBAR to L1TEX M-Stage throughput","1","1"
"l1tex__t_bytes","# of bytes requested","1","1"
"l1tex__t_bytes_lookup_hit","# of bytes requested with tag-hit and data-hit","1","1"
"l1tex__t_bytes_lookup_miss","# of bytes requested that missed","1","1"
"l1tex__t_bytes_pipe_lsu","# of bytes requested for LSU pipe local/global","1","1"
"l1tex__t_bytes_pipe_lsu_lookup_hit","# of bytes requested with tag-hit and data-hit for LSU pipe local/global","1","1"
"l1tex__t_bytes_pipe_lsu_lookup_miss","# of bytes requested that missed for LSU pipe local/global","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_atom","# of bytes requested for global atomics","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_hit","# of bytes requested with tag-hit and data-hit for global atomics","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_miss","# of bytes requested that missed for global atomics","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_ld","# of bytes requested for global loads","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit","# of bytes requested with tag-hit and data-hit for global loads","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_miss","# of bytes requested that missed for global loads","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_red","# of bytes requested for global reductions","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_hit","# of bytes requested with tag-hit and data-hit for global reductions","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_miss","# of bytes requested that missed for global reductions","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_st","# of bytes requested for global stores","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_hit","# of bytes requested with tag-hit and data-hit for global stores","1","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_miss","# of bytes requested that missed for global stores","1","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_ld","# of bytes requested for local loads","1","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_hit","# of bytes requested with tag-hit and data-hit for local loads","1","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_miss","# of bytes requested that missed for local loads","1","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_st","# of bytes requested for local stores","1","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_hit","# of bytes requested with tag-hit and data-hit for local stores","1","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_miss","# of bytes requested that missed for local stores","1","1"
"l1tex__t_bytes_pipe_tex","# of bytes requested for TEX pipe","1","1"
"l1tex__t_bytes_pipe_tex_lookup_hit","# of bytes requested with tag-hit and data-hit for TEX pipe","1","1"
"l1tex__t_bytes_pipe_tex_lookup_miss","# of bytes requested that missed for TEX pipe","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface","# of bytes requested for surface","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_lookup_hit","# of bytes requested with tag-hit and data-hit for surface","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_lookup_miss","# of bytes requested that missed for surface","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_atom","# of bytes requested for surface atomics","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_hit","# of bytes requested with tag-hit and data-hit for surface atomics","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_miss","# of bytes requested that missed for surface atomics","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_ld","# of bytes requested for surface loads","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_hit","# of bytes requested with tag-hit and data-hit for surface loads","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_miss","# of bytes requested that missed for surface loads","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_red","# of bytes requested for surface reductions","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_hit","# of bytes requested with tag-hit and data-hit for surface reductions","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_miss","# of bytes requested that missed for surface reductions","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_st","# of bytes requested for surface stores","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_hit","# of bytes requested with tag-hit and data-hit for surface stores","1","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_miss","# of bytes requested that missed for surface stores","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture","# of bytes requested for texture","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture_lookup_hit","# of bytes requested with tag-hit and data-hit for texture","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture_lookup_miss","# of bytes requested that missed for texture","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_ld","# of bytes requested for TLD instructions","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_hit","# of bytes requested with tag-hit and data-hit for TLD instructions","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_miss","# of bytes requested that missed for TLD instructions","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_tex","# of bytes requested for TEX instructions","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_hit","# of bytes requested with tag-hit and data-hit for TEX instructions","1","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_miss","# of bytes requested that missed for TEX instructions","1","1"
"l1tex__t_output_wavefronts","# of wavefronts sent to Data-Stage from T-Stage","1","1"
"l1tex__t_output_wavefronts_pipe_lsu","# of wavefronts sent to Data-Stage from T-Stage for LSU pipe","1","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global","# of wavefronts sent to Data-Stage from T-Stage for global memory instructions","1","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom","# of wavefronts sent to Data-Stage from T-Stage for global atomics","1","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld","# of wavefronts sent to Data-Stage from T-Stage for global loads","1","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red","# of wavefronts sent to Data-Stage from T-Stage for global reductions","1","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st","# of wavefronts sent to Data-Stage from T-Stage for global stores","1","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_local","# of wavefronts sent to Data-Stage from T-Stage for local memory instructions","1","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld","# of wavefronts sent to Data-Stage from T-Stage for local loads","1","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st","# of wavefronts sent to Data-Stage from T-Stage for local stores","1","1"
"l1tex__t_output_wavefronts_pipe_tex","# of wavefronts sent to Data-Stage from T-Stage for TEX pipe","1","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface","# of wavefronts sent to Data-Stage from T-Stage for surface instructions","1","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom","# of wavefronts sent to Data-Stage from T-Stage for surface atomics","1","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld","# of wavefronts sent to Data-Stage from T-Stage for surface loads","1","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red","# of wavefronts sent to Data-Stage from T-Stage for surface reductions","1","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st","# of wavefronts sent to Data-Stage from T-Stage for surface stores","1","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_texture","# of wavefronts sent to Data-Stage from T-Stage for texture instructions","1","1"
"l1tex__t_output_wavefronts_pipe_tex_realtime","# of wavefronts sent to Data-Stage from T-Stage for texture and surface instructions","1","1"
"l1tex__t_output_wavefronts_realtime","# of wavefronts sent to Data-Stage from T-Stage","1","1"
"l1tex__t_requests","# of requests sent to T-Stage","1","1"
"l1tex__t_requests_pipe_lsu","# of requests sent to T-Stage from the LSU instruction pipeline","1","1"
"l1tex__t_requests_pipe_lsu_mem_global_op_atom","# of requests sent to T-Stage for global atomics","1","1"
"l1tex__t_requests_pipe_lsu_mem_global_op_ld","# of requests sent to T-Stage for global loads","1","1"
"l1tex__t_requests_pipe_lsu_mem_global_op_red","# of requests sent to T-Stage for global reductions","1","1"
"l1tex__t_requests_pipe_lsu_mem_global_op_st","# of requests sent to T-Stage for global stores","1","1"
"l1tex__t_requests_pipe_lsu_mem_local_op_ld","# of requests sent to T-Stage for local loads","1","1"
"l1tex__t_requests_pipe_lsu_mem_local_op_st","# of requests sent to T-Stage for local stores","1","1"
"l1tex__t_requests_pipe_tex","# of requests sent to T-Stage from the L1TEX X-Stage","1","1"
"l1tex__t_requests_pipe_tex_mem_surface","# of requests sent to T-Stage from the L1TEX X-Stage for surfaces","1","1"
"l1tex__t_requests_pipe_tex_mem_surface_op_atom","# of requests sent to T-Stage for surface atomics","1","1"
"l1tex__t_requests_pipe_tex_mem_surface_op_ld","# of requests sent to T-Stage for surface loads","1","1"
"l1tex__t_requests_pipe_tex_mem_surface_op_red","# of requests sent to T-Stage for surface reductions","1","1"
"l1tex__t_requests_pipe_tex_mem_surface_op_st","# of requests sent to T-Stage for surface stores","1","1"
"l1tex__t_requests_pipe_tex_mem_texture","# of requests sent to T-Stage from the L1TEX X-Stage for textures","1","1"
"l1tex__t_requests_pipe_tex_mem_texture_op_ld","# of requests sent to T-Stage from the TEX pipe for TLD instructions","1","1"
"l1tex__t_requests_pipe_tex_mem_texture_op_tex","# of requests sent to T-Stage from the TEX pipe for TEX instructions","1","1"
"l1tex__t_sector_hit_rate","# of sector hits per sector","1","1"
"l1tex__t_sector_pipe_lsu_hit_rate","# of sector hits for LSU pipe local/global per sector for LSU pipe local/global","1","1"
"l1tex__t_sector_pipe_lsu_mem_global_op_atom_hit_rate","# of sector hits for global atomics per sector for global atomics","1","1"
"l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate","# of sector hits for global loads per sector for global loads","1","1"
"l1tex__t_sector_pipe_lsu_mem_global_op_red_hit_rate","# of sector hits for global reductions per sector for global reductions","1","1"
"l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate","# of sector hits for global stores per sector for global stores","1","1"
"l1tex__t_sector_pipe_lsu_mem_local_op_ld_hit_rate","# of sector hits for local loads per sector for local loads","1","1"
"l1tex__t_sector_pipe_lsu_mem_local_op_st_hit_rate","# of sector hits for local stores per sector for local stores","1","1"
"l1tex__t_sector_pipe_tex_hit_rate","# of sector hits for TEX pipe per sector for TEX pipe","1","1"
"l1tex__t_sector_pipe_tex_mem_surface_hit_rate","# of sector hits for surface per sector for surface","1","1"
"l1tex__t_sector_pipe_tex_mem_surface_op_atom_hit_rate","# of sector hits for surface atomics per sector for surface atomics","1","1"
"l1tex__t_sector_pipe_tex_mem_surface_op_ld_hit_rate","# of sector hits for surface loads per sector for surface loads","1","1"
"l1tex__t_sector_pipe_tex_mem_surface_op_red_hit_rate","# of sector hits for surface reductions per sector for surface reductions","1","1"
"l1tex__t_sector_pipe_tex_mem_surface_op_st_hit_rate","# of sector hits for surface stores per sector for surface stores","1","1"
"l1tex__t_sector_pipe_tex_mem_texture_hit_rate","# of sector hits for texture per sector for texture","1","1"
"l1tex__t_sector_pipe_tex_mem_texture_op_ld_hit_rate","# of sector hits for TLD instructions per sector for TLD instructions","1","1"
"l1tex__t_sector_pipe_tex_mem_texture_op_tex_hit_rate","# of sector hits for TEX instructions per sector for TEX instructions","1","1"
"l1tex__t_sectors","# of sectors requested","1","1"
"l1tex__t_sectors_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit","1","1"
"l1tex__t_sectors_lookup_miss","# of sector requests to T-Stage that missed","1","1"
"l1tex__t_sectors_pipe_lsu","# of sectors requested for LSU pipe local/global","1","1"
"l1tex__t_sectors_pipe_lsu_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for LSU pipe local/global","1","1"
"l1tex__t_sectors_pipe_lsu_lookup_miss","# of sector requests to T-Stage that missed for LSU pipe local/global","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_atom","# of sectors requested for global atomics","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for global atomics","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_miss","# of sector requests to T-Stage that missed for global atomics","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld","# of sectors requested for global loads","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for global loads","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss","# of sector requests to T-Stage that missed for global loads","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_red","# of sectors requested for global reductions","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for global reductions","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss","# of sector requests to T-Stage that missed for global reductions","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_st","# of sectors requested for global stores","1","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for global stores","1","1"
